filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste_multiprocessing.py,fib,71,3.36989,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,71,0.23274,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,72,7.02654,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,72,0.23589,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,73,7.16965,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,73,0.22893,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,74,7.11094,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,74,0.30424,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,75,7.41309,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,75,0.23492,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,76,7.56286,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,76,0.22845,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,77,7.58624,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,77,0.23505,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,78,7.58895,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,78,0.23645,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,79,7.54768,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,79,0.23069,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,80,7.89896,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,80,0.27507,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,81,7.8435,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,81,0.22598,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,82,8.10993,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,82,0.23236,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,83,8.17638,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,83,0.23406,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,84,8.22325,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,84,0.23457,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,85,8.4381,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,85,0.2348,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,86,8.2851,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,86,0.23132,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,87,8.43617,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,87,0.22942,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,88,8.55847,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,88,0.23395,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,89,8.69768,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,89,0.28291,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,90,8.84276,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,90,0.23096,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,91,9.09712,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,91,0.22612,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,92,8.86102,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,92,0.22675,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,93,8.91285,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,93,0.23393,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,94,9.05089,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,94,0.22759,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,95,9.217,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,95,0.23147,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,96,9.39116,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,96,0.22834,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,97,9.85892,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,97,0.22716,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,98,9.48488,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,98,0.22654,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,99,9.69545,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,99,0.22937,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,100,9.75077,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,100,0.23368,2d-mp,pickle,db,False,md5,True,True
teste.py,fib,1,0.10567,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,1,0.00482,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,2,0.10563,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,2,0.00481,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,3,0.07975,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,3,0.00476,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,4,0.08694,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,4,0.00473,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,5,0.09268,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,5,0.00482,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,6,0.09729,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,6,0.00474,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,7,0.10514,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,7,0.00494,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,8,0.07674,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,8,0.00502,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,9,0.08933,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,9,0.00475,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,10,0.09109,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,10,0.0047,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,11,0.10434,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,11,0.00462,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,12,0.08372,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,12,0.00515,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,13,0.08589,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,13,0.00486,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,14,0.08684,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,14,0.00482,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,15,0.1158,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,15,0.00468,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,16,0.0952,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,16,0.0049,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,17,0.09019,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,17,0.0052,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,18,0.12102,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,18,0.00489,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,19,0.09761,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,19,0.00508,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,20,0.09689,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,20,0.00476,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,21,0.10942,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,21,0.00469,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,22,0.12125,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,22,0.00478,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,23,0.09759,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,23,0.00484,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,24,0.10754,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,24,0.00487,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,25,0.10882,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,25,0.00533,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,26,0.0946,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,26,0.00468,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,27,0.10045,2d-ad,pickle,db,False,md5,True,False
